yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2012,12,31,23,37,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,0000,71,,,1,-1,86,230,7,,30.09,,,,,,,,,,,,0.0,100,13,2013,01,01,00
2012,12,31,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,0000,71,,,0.6,-0.6,91,210,5,,30.09,1019.5,,,,,,1,1,,,2.0,0.0,100,12,2013,01,01,00
2013,01,01,00,35,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,0000,10,,,1,-1,86,210,6,,30.08,,,,,,,,,,,,0.0,100,13,2013,01,01,01
2013,01,01,00,44,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,4800,10,,,1,-1,86,230,5,,30.08,,,,,,,,,,,,0.0,100,13,2013,01,01,01
2013,01,01,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,4800,10,,,0.6,-0.6,91,210,3,,30.08,1019.0,,,,,,,,,,,0.0,100,12,2013,01,01,01
2013,01,01,01,30,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,6000,10,,,1,-1,86,220,6,,30.06,,,,,,,,,,,,,100,13,2013,01,01,02
2013,01,01,01,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,8000,10,,,0.6,-0.6,91,220,5,,30.07,1018.9,,,,,,,,,,,,100,12,2013,01,01,02
2013,01,01,02,11,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,0000,71,,,1,-1,86,230,4,,30.07,,,,,,,,,,,,0.3,100,13,2013,01,01,02
2013,01,01,02,37,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,0000,71,,,0,-1,92,230,6,,30.07,,,,,,,,,,,,0.3,100,13,2013,01,01,03
2013,01,01,02,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,0000,71,,,0.0,-0.6,95,240,6,,30.06,1018.7,,,,,,,,,,0.3,0.3,100,14,2013,01,01,03
2013,01,01,03,44,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,0000,71,,,0,-1,92,230,3,,30.06,,,,,,,,,,,,0.5,100,13,2013,01,01,04
2013,01,01,03,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,0000,71,,,0.0,-0.6,95,240,3,,30.06,1018.7,,,,,,,,,,,0.8,100,14,2013,01,01,04
2013,01,01,04,00,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,0000,71,,,0,-1,92,250,5,,30.07,,,,,,,,,,,,0.0,100,13,2013,01,01,04
2013,01,01,04,10,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,006,4800,71,,,0,-1,92,240,4,,30.06,,,,,,,,,,,,0.0,100,13,2013,01,01,04
2013,01,01,04,45,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,6000,10,,,0,-1,92,0,0,,30.06,,,,,,,,,,,,0.0,100,13,2013,01,01,05
2013,01,01,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,8,004,4800,10,,,0.0,-0.6,95,0,0,,30.05,1018.1,,2.2,-3.9,,,,,,,,0.0,100,14,2013,01,01,05
