yyyy,mm,dd,hh,mm,lat,lon,elev,icao,faa,wmo,wban,country3,region,sky_total,sky_ceiling,visibility_m,weather_present,weather_past1,weather_past2,temp,dwpt,rh,wind_dir,wind_spd,wind_gst,pressure_alstg,pressure_slp,snow_depth,temp_max24,temp_min24,temp_max12,temp_min12,temp_max6,temp_min6,precip_24,precip_12,precip_6,precip_1,source,datatype,yyyy_rounded,mm_rounded,dd_rounded,hh_rounded
2013,12,31,23,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.7,-8.9,54,190,4,,30.26,1025.6,,,,,,2,-2,,,,,100,12,2014,01,01,00
2014,01,01,00,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-0.6,-8.9,49,200,6,,30.27,1025.9,,,,,,,,,,,,100,12,2014,01,01,01
2014,01,01,01,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.1,-7.8,56,190,7,,30.25,1025.2,,,,,,,,,,,,100,12,2014,01,01,02
2014,01,01,02,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-1.1,-7.8,56,200,6,,30.24,1025.0,,,,,,,,,,,,100,14,2014,01,01,03
2014,01,01,03,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-0.6,-7.2,57,190,8,,30.24,1024.8,,,,,,,,,,,,100,14,2014,01,01,04
2014,01,01,04,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,0.0,-6.7,57,190,12,,30.22,1024.0,,2.2,-6.1,,,,,,,,,100,14,2014,01,01,05
2014,01,01,05,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,0.0,-6.1,60,230,5,,30.24,1024.7,,,,,,1,-2,,,,,100,14,2014,01,01,06
2014,01,01,06,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-0.6,-6.1,63,210,6,,30.23,1024.3,,,,,,,,,,,,100,14,2014,01,01,07
2014,01,01,07,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-0.6,-5.6,65,200,6,,30.22,1024.1,,,,,,,,,,,,100,14,2014,01,01,08
2014,01,01,08,53,39.146,-86.617,257,KBMG,BMG,00000,3893,USA,IN,0,,9999,,,,-0.6,-5.6,65,210,6,,30.21,1023.7,,,,,,,,,,,,100,14,2014,01,01,09
